PMID,col1,col2,topic,period
10022201,32.595882,15.493094,9,1
10051048,-33.353024,-27.103092,4,1
10051049,2.23637,-53.575863,4,1
10051050,-0.31462914,-58.241283,4,1
10051051,-16.494001,-43.007774,4,1
10051052,-9.479748,-76.58056,4,1
10051053,-15.705715,-41.88609,4,1
10051054,-40.219173,-29.06366,4,1
10051055,38.49154,43.736446,14,1
10051056,-17.707829,44.086857,4,1
10051057,-36.065582,9.963346,4,1
10051058,82.43356,20.9146,14,1
10051059,67.08662,-20.103859,14,1
10051060,47.646397,44.535793,14,1
10051061,31.241785,34.452194,14,1
10051062,-38.21862,4.463181,2,1
10051063,56.165672,-20.126152,4,1
10051064,-6.4894867,-36.68163,9,1
10051065,75.06897,32.654938,1,1
10051066,15.896763,48.687378,14,1
10051067,42.98554,37.178078,1,1
10051068,32.342865,17.381538,9,1
10069020,52.16962,-34.079876,7,1
10070229,11.035438,-4.5785775,4,1
10071979,-67.30958,35.131542,4,1
10073735,-37.273537,65.71043,4,1
10074876,77.9621,-13.825093,7,1
10085276,50.08078,-14.680902,14,1
10085499,71.26175,15.607081,4,1
10087743,47.1563,22.752283,14,1
10092956,-14.046518,43.263214,4,1
10098154,40.718765,15.484558,4,1
10109143,-42.6751,25.104942,4,1
10113128,-31.204983,3.136457,4,1
10114007,-47.7059,36.163208,4,1
10128814,-47.666977,31.852919,4,1
10129142,-15.300877,70.01,4,1
10130685,-42.390507,24.664713,4,1
10146890,10.00539,50.70017,4,1
10146946,-13.573182,42.1175,4,1
10151727,-45.225555,33.396027,4,1
10157541,-40.22253,32.64731,4,1
10172600,-16.479116,-2.3506665,4,1
10190647,-47.331387,-74.86321,4,1
10191936,-7.1863575,42.809822,4,1
10192748,38.268726,-34.07913,4,1
10194038,-17.865892,-71.46025,4,1
10202231,-14.672826,40.021564,4,1
10216973,-15.101737,-7.8907413,4,1
10216975,6.7748694,32.321373,4,1
10217331,22.577103,-4.8692484,4,1
10217332,-56.547802,-14.185104,4,1
10217333,42.72342,38.716576,4,1
10217334,-1.8654895,34.923542,4,1
10217335,57.061893,-5.4461665,7,1
10217336,46.833427,15.099618,14,1
10217337,63.823563,53.146328,14,1
10217338,63.992645,53.111202,14,1
10217339,24.034588,40.094193,7,1
10217340,-4.9305844,-53.187542,4,1
10217341,76.919655,-27.79407,4,1
10217342,-7.142944,-6.357342,4,1
10217343,36.703335,51.50659,14,1
10217344,-18.33728,25.501394,4,1
10217345,-42.461323,-70.6451,4,1
10217346,5.479074,-20.334692,9,1
10217347,19.498976,-3.3836753,9,1
10217348,78.89398,36.160267,1,1
10217349,72.79131,30.314417,1,1
10217350,8.466596,20.920876,4,1
10221372,9.150301,37.677807,4,1
10221854,-26.117619,44.699265,4,1
10228992,-1.800657,-58.44117,4,1
10233201,50.31937,-14.651556,14,1
10235420,59.121883,-35.944687,4,1
10235691,51.813072,13.778256,14,1
10258990,-41.19064,34.33541,4,1
10259655,-10.44408,-3.037744,9,1
10266568,-15.96687,-2.0318341,4,1
10272395,-4.316146,-38.88021,4,1
10311614,-47.23145,31.64388,4,1
10317598,-15.813466,-1.3209219,4,1
10331819,33.68387,17.75273,7,1
10332529,-38.727055,24.050411,4,1
10333167,82.62225,-13.34292,4,1
10335607,32.45051,10.872259,9,1
10344906,-15.057704,43.026306,4,1
10348189,55.92504,-54.198193,9,1
10360445,30.594034,0.9696578,9,1
10365634,40.853462,73.52416,4,1
10365635,6.015677,29.197104,4,1
10365636,-19.864368,-28.822006,9,1
10365637,-3.7227833,33.00365,4,1
10365638,50.956806,33.9737,4,1
10365639,82.43509,20.89518,13,1
10365640,47.99694,-28.31656,4,1
10365641,-5.589984,-0.42215067,5,1
10365642,28.711971,55.403557,4,1
10365643,-14.783082,31.590471,4,1
10365644,20.378277,6.2541885,1,1
10365645,28.72412,5.5687747,9,1
10365646,-16.860443,-70.67726,4,1
10365647,77.670845,-15.480544,7,1
10365648,21.58082,-1.8957124,9,1
10365649,9.885078,49.585835,9,1
10365650,78.16149,-13.486425,7,1
10365651,52.431732,-8.546622,9,1
10365652,52.58549,27.517054,14,1
10365653,15.92011,-58.7406,9,1
10365654,39.523838,-19.270617,9,1
10365655,3.2897549,-2.165244,9,1
10368854,80.32411,-17.6819,4,1
10371361,-34.73666,-27.55603,4,1
10383553,-27.17213,-10.506583,4,1
10391415,-26.541069,30.415606,4,1
10401444,-8.532702,11.274886,14,1
10423598,5.7198124,-3.3486516,4,1
10427469,28.26435,34.030304,9,1
10430105,2.3095696,41.137398,14,1
10438180,70.83673,31.153978,14,1
10442690,-18.36008,-6.538192,4,1
10442691,5.9963713,-31.202562,4,1
10442692,-18.273073,26.901487,4,1
10442693,39.458324,-19.19706,9,1
10442694,19.365557,-1.2731863,9,1
10442695,14.340652,3.1606066,9,1
10442696,46.54089,34.931446,9,1
10462602,-17.731707,-11.881825,4,1
10468314,50.021343,-27.799639,14,1
10493270,-12.967662,44.656673,4,1
10496301,0.4744709,27.623446,4,1
10496302,35.838943,-44.087025,4,1
10500444,-16.10683,-4.840655,4,1
10505580,43.419914,-24.134771,14,1
10510137,-5.305477,-5.365134,4,1
10510159,-32.788834,-26.796246,4,1
10510776,44.59395,-20.550028,9,1
10513005,-1.725874,-11.938729,9,1
10515412,-42.215424,41.90222,4,1
10519444,82.43603,20.90265,7,1
10519445,-12.369858,-71.23893,4,1
10519446,44.16975,-67.642654,7,1
10519447,-6.42115,32.892063,14,1
10519448,15.910543,48.665337,4,1
10519449,14.153702,15.578374,4,1
10519450,36.67086,-61.697495,4,1
10519451,-18.915901,-66.96487,4,1
10519452,-3.3477802,40.870415,1,1
