,topic,period
10022201,10,1
10026388,5,1
10026677,0,1
10027891,6,1
10029871,8,1
10030167,8,1
10030196,7,1
10036438,7,1
10051050,1,1
10051051,1,1
10051056,12,1
10051058,3,1
10051059,5,1
10051063,5,1
10051065,10,1
10051069,0,1
10051283,8,1
10052044,2,1
10065202,0,1
10065407,0,1
10069285,11,1
10069286,11,1
10070399,0,1
10073735,12,1
10073747,0,1
10073748,9,1
10076251,0,1
10076276,0,1
10076675,7,1
10077465,3,1
10078292,12,1
10078590,0,1
10078791,8,1
10079567,0,1
10080601,0,1
10081349,12,1
10081432,0,1
10083018,0,1
10083498,0,1
10083508,0,1
10083517,0,1
10083542,0,1
10084421,0,1
10084728,1,1
10085695,11,1
10085846,5,1
10085919,11,1
10086112,0,1
10088242,0,1
10088267,0,1
10088268,0,1
10088270,0,1
10092956,12,1
10095510,0,1
10095646,11,1
10098154,0,1
10099032,5,1
10099040,3,1
10099041,5,1
10099043,9,1
10099044,9,1
10099048,0,1
10099053,12,1
10099056,11,1
10099058,12,1
10114007,7,1
10114052,7,1
10115543,0,1
10115664,0,1
10117006,12,1
10117728,7,1
10119631,0,1
10119690,7,1
10119691,0,1
10119735,11,1
10119736,0,1
10120359,0,1
10121011,0,1
10121421,9,1
10121426,0,1
10122509,12,1
10122649,0,1
10123054,0,1
10123841,7,1
10126457,0,1
10127574,7,1
10127576,7,1
10129138,0,1
10136553,7,1
10136567,0,1
10136586,0,1
10137062,7,1
10137290,7,1
10138581,7,1
10138706,0,1
10138914,0,1
10138923,7,1
10139093,0,1
10139882,0,1
10140426,7,1
10140524,0,1
10140525,7,1
10141867,7,1
10143998,0,1
10144104,0,1
10144212,7,1
10144645,12,1
10145551,0,1
10146775,0,1
10146946,12,1
10147108,0,1
10147376,0,1
10147378,0,1
10148303,0,1
10150194,0,1
10150465,0,1
10150695,12,1
10150698,11,1
10151281,7,1
10151727,2,1
10151733,7,1
10151951,7,1
10153644,0,1
10155361,11,1
10157541,7,1
10157736,7,1
10159580,7,1
10160273,0,1
10160474,0,1
10161611,0,1
10165116,2,1
10165117,2,1
10166408,5,1
10166414,0,1
10167375,0,1
10168019,0,1
10168619,0,1
10170837,0,1
10172163,0,1
10172600,7,1
10173938,6,1
10176513,0,1
10178176,0,1
10178476,0,1
10188478,7,1
10190647,3,1
10191748,11,1
10191904,11,1
10192409,5,1
10192748,5,1
10194038,1,1
10199057,7,1
10200132,9,1
10200746,0,1
10202617,1,1
