,0
10,33823.43434665418
11,37429.12163352532
12,40127.93771464615
13,44115.67921582303
14,46803.37317368021
15,53090.697020452426
16,57475.676611437484
17,63705.73191195407
18,67203.12578349338
19,73979.4288551044
20,78944.13357921322
