PMID,col1,col2,topic,period
10022201,16.331978,24.807741,0,1
10051048,-30.111788,26.924467,4,1
10051049,-16.887985,16.071156,4,1
10051050,-17.48857,16.295307,4,1
10051051,-15.955733,32.439987,4,1
10051052,-30.98801,40.964233,4,1
10051053,-15.839985,31.23134,4,1
10051054,-29.771957,24.996906,16,1
10051055,-14.132134,-6.837151,10,1
10051056,-5.8709965,-28.327253,3,1
10051057,-17.744211,0.70291626,3,1
10051058,16.271847,-2.3485835,13,1
10051059,33.472153,-26.480165,12,1
10051060,13.648639,-40.727203,1,1
10051061,11.309292,-18.601158,15,1
10051062,0.2784204,1.1031152,15,1
10051063,28.622211,-39.181015,12,1
10051064,-0.83463824,32.61439,6,1
10051065,-50.072937,16.512848,8,1
10051066,-7.7504964,5.010751,0,1
10051067,42.201744,-1.1640766,8,1
10051068,5.126036,-13.969126,11,1
10069020,16.10147,-22.72713,12,1
10070229,-5.6221766,-8.949804,12,1
10071979,-8.935302,2.9398158,14,1
10073735,-13.316974,-5.2771645,7,1
10074876,58.488743,-10.967489,13,1
10085276,4.216529,-28.101118,9,1
10085499,45.585827,-27.339998,12,1
10087743,-3.888281,16.144703,15,1
10092956,-8.190529,-1.9039185,3,1
10098154,24.59313,-17.661283,7,1
10109143,1.2120327,-8.190963,7,1
10113128,-7.290144,-34.507915,11,1
10114007,-1.7397232,-0.9322362,14,1
10128814,-1.3265687,-24.029058,11,1
10129142,-14.597694,-9.881113,3,1
10130685,-2.5250452,-17.6356,7,1
10146890,-2.8712497,5.1336346,2,1
10146946,-19.614471,-13.657519,7,1
10151727,0.8312599,-7.334849,16,1
10157541,5.78665,-2.2466571,13,1
10172600,5.568265,-0.692913,13,1
10190647,8.583063,-27.6867,15,1
10191936,13.829516,15.979167,2,1
10192748,6.524413,-7.1493707,13,1
10194038,-28.055471,42.36699,4,1
10202231,7.240556,-7.2846994,7,1
10216973,6.8738685,0.6520141,7,1
10216975,1.9323568,-9.349149,14,1
10217331,-10.820141,-4.679082,10,1
10217332,-4.9562373,33.62327,10,1
10217333,40.555614,-1.1539463,3,1
10217334,-16.790434,5.0815597,14,1
10217335,42.93789,13.150008,12,1
10217336,23.43381,5.7305136,3,1
10217337,47.267967,-12.948038,1,1
10217338,47.19398,-12.874043,10,1
10217339,0.9019651,11.182624,12,1
10217340,-18.815704,11.091583,0,1
10217341,31.97298,4.6779213,8,1
10217342,1.994264,3.8739274,13,1
10217343,13.726402,5.7131186,15,1
10217344,-10.11401,4.239761,16,1
10217345,17.783323,-36.741463,15,1
10217346,10.672228,16.313549,0,1
10217347,21.44443,13.78924,8,1
10217348,-4.929414,20.937029,6,1
10217349,-49.594048,14.470656,8,1
10217350,0.5502043,-6.0053134,7,1
10221372,-15.105636,-4.195794,14,1
10221854,-55.451096,-3.8532023,3,1
10228992,-21.094177,13.826092,4,1
10233201,4.2000284,-28.038376,9,1
10235420,-0.10280059,14.6691885,14,1
10235691,22.180237,-19.662718,12,1
10258990,-8.421248,-24.494385,7,1
10259655,-8.252001,6.846213,2,1
10266568,6.028454,-0.67718536,7,1
10272395,-4.2728086,-2.6381097,7,1
10311614,-2.371073,-24.23042,7,1
10317598,4.8926773,-0.9129191,13,1
10331819,2.9754906,-0.83522874,13,1
10332529,0.017532138,3.206623,13,1
10333167,6.5884986,-5.90201,13,1
10335607,22.78683,24.631016,0,1
10344906,-22.740953,-13.188502,3,1
10348189,10.314031,12.717247,0,1
10360445,21.421297,21.710344,0,1
10365634,31.81485,-13.563082,12,1
10365635,-17.84922,0.72650427,3,1
10365636,4.2282057,-2.7064526,0,1
10365637,-21.957243,4.133653,14,1
10365638,41.68819,5.7621827,3,1
10365639,16.287148,-2.3444958,13,1
10365640,32.95884,26.172747,1,1
10365641,-42.559586,6.559653,14,1
10365642,-10.122774,11.182375,15,1
10365643,-31.912436,-3.3302093,6,1
10365644,41.93215,-5.585853,0,1
