,0
10,3173.749373421687
11,3136.9528096316712
12,3080.5015381053304
13,2997.439963226111
14,2963.2230431778034
15,2964.9527429897817
16,2916.8291887697615
17,2896.4179121919956
18,2890.262983838517
19,2852.0633274711004
20,2886.4258804663496
