,0
10,3116.798441662766
11,3069.494037019897
12,3031.8412334869126
13,2967.521450332203
14,2951.877333192148
15,2927.2371651104877
16,2886.2112167167707
17,2867.1137286308776
18,2816.2521786979746
19,2807.43655329565
20,2808.2557600783985
