PMID,col1,col2,topic,period
10022201,-20.633762,-45.92571,12,1
10026388,7.323077,11.108782,5,1
10027891,-76.49055,37.107277,0,1
10029871,-30.440506,9.399717,5,1
10030167,12.741126,-61.240692,0,1
10030196,-27.354557,26.390444,0,1
10036438,8.366528,-33.598015,0,1
10051050,53.3953,-58.996574,5,1
10051051,56.32262,-53.51068,5,1
10051056,-30.577858,2.3154962,0,1
10051058,-39.4118,-77.49571,5,1
10051059,-3.5386279,16.486269,5,1
10051063,-8.996271,15.899876,5,1
10051065,38.95932,70.301994,12,1
10051283,84.95458,-4.124096,0,1
10052044,59.55071,-25.514822,5,1
10065407,14.895426,-58.326725,5,1
10069285,-43.49998,74.502884,0,1
10069286,-12.904998,79.76882,0,1
10073735,-5.704572,-14.178732,5,1
10073747,-19.191185,5.903906,0,1
10073748,-12.648431,54.33007,0,1
10076276,-48.08321,8.740619,0,1
10076675,4.8993716,56.77767,0,1
10077465,-17.051956,-25.320564,12,1
10078292,-25.493387,-29.34773,5,1
10078791,17.24108,-71.705315,0,1
10080601,27.834377,-12.480309,5,1
10081349,3.2985194,-21.683678,5,1
10084421,-38.866333,35.33788,0,1
10084728,43.27989,-39.6567,5,1
10085695,20.709673,-34.8108,5,1
10085846,-37.12404,-0.9628744,0,1
10085919,-48.909996,50.513737,0,1
10086112,-40.710815,7.046657,0,1
10092956,-4.5864806,-16.912437,5,1
10095646,-48.81746,49.289986,0,1
10098154,-42.00058,-48.899273,5,1
10099032,7.469219,-34.7627,5,1
10099040,-23.863264,23.78488,5,1
10099041,-37.72984,-21.656254,5,1
10099043,31.644333,42.922523,5,1
10099044,8.1319065,14.881627,0,1
10099053,2.6067991,0.5362414,5,1
10099056,55.33705,-56.723854,12,1
10099058,-34.819263,-37.05117,5,1
10114007,-52.23313,14.975309,0,1
10114052,-76.954865,-25.12911,0,1
10117006,-65.48027,29.21192,5,1
10117728,-51.244034,8.330382,0,1
10119690,-45.022816,18.089838,0,1
10119735,-43.5845,68.968315,0,1
10121011,-29.858978,37.41091,0,1
10121421,-61.388107,-41.36103,5,1
10121426,-26.889736,34.742794,0,1
10122509,-29.250898,-23.127201,5,1
10122649,-29.874117,37.430378,0,1
10123841,-49.891228,26.44887,0,1
10127574,-43.186417,19.141153,0,1
10127576,-45.221283,20.000576,0,1
10136553,-31.486313,45.684017,0,1
10136586,-23.441189,24.68802,0,1
10137062,40.090477,68.43939,0,1
10137290,-35.52204,20.93368,0,1
10138581,-23.879993,23.864866,0,1
10138923,-53.808575,10.042095,0,1
10139093,-7.139936,28.948917,0,1
10140426,-54.391354,9.230638,0,1
10140524,-86.24334,-5.309191,0,1
10140525,-44.698055,17.357988,0,1
10141867,-5.2849245,48.242558,12,1
10144212,-43.007046,18.73849,0,1
10144645,-4.754308,-18.220112,5,1
10146946,-4.424015,-17.554092,0,1
10150465,-16.43153,9.361816,5,1
10150695,-4.7911406,-17.204262,5,1
10150698,-49.177456,48.15628,0,1
10151281,-31.401922,29.262747,0,1
10151727,-53.758385,10.114976,0,1
10151733,-36.10965,34.253128,0,1
10151951,-1.6272758,-9.050917,0,1
10155361,-32.784332,66.5237,0,1
10157541,-49.318,8.177741,0,1
