,topic,period
10472694,0,1
10474279,0,1
10477679,0,1
10479944,5,1
10479946,0,1
10481707,7,1
10483322,13,1
10483608,8,1
10484784,0,1
10484789,0,1
10484791,12,1
10484796,0,1
10484807,5,1
10484808,0,1
10484986,2,1
10486750,10,1
10486755,3,1
10487276,1,1
10487284,12,1
10487287,1,1
10488311,0,1
10492286,0,1
10493464,8,1
10496302,17,1
10499144,15,1
10499740,0,1
10500444,8,1
10500573,0,1
10500574,0,1
10502617,12,1
10504970,0,1
10504976,0,1
10504992,0,1
10505485,18,1
10506447,0,1
10507070,0,1
10507077,0,1
10509153,3,1
10510137,17,1
10510159,1,1
10511842,8,1
10513125,3,1
10513714,1,1
10513791,8,1
10514024,0,1
10514759,18,1
10515412,17,1
10515657,0,1
10517347,10,1
10517348,10,1
10519444,3,1
10519448,12,1
10519457,10,1
10520091,8,1
10520098,7,1
10520567,0,1
10528428,0,1
10528829,1,1
10530675,17,1
10530696,13,1
10530698,7,1
10533630,9,1
10533699,12,1
10534212,17,1
10539100,11,1
10539650,0,1
10540625,0,1
10542523,0,1
10542738,0,1
10542762,0,1
10542795,0,1
10543126,0,1
10543129,0,1
10543132,0,1
10543133,0,1
10543134,0,1
10543135,0,1
10543137,0,1
10543138,0,1
10543139,0,1
10543140,0,1
10543141,0,1
10543142,0,1
10543143,0,1
10543144,0,1
10543145,0,1
10543146,0,1
10543147,0,1
10543148,0,1
10543149,0,1
10543676,17,1
10544915,11,1
10551506,5,1
10551965,9,1
10551966,11,1
10551971,18,1
10551974,7,1
10552940,2,1
10554048,17,1
10555929,0,1
10556183,6,1
10556872,0,1
10558048,0,1
10558049,0,1
10560287,8,1
10560800,11,1
10561143,12,1
10561281,2,1
10561356,15,1
10561966,3,1
10562972,12,1
10563060,5,1
10565205,15,1
10566561,1,1
10572981,16,1
10574190,10,1
10574197,10,1
10576014,17,1
10576046,0,1
10576780,0,1
10576792,0,1
10578644,0,1
10578712,1,1
10579196,0,1
10582067,8,1
10583634,15,1
10584083,0,1
10584089,0,1
10584376,1,1
10584377,0,1
10585368,0,1
10586396,5,1
10588292,8,1
10588297,0,1
10588299,9,1
10589962,1,1
10590682,11,1
10590713,1,1
10592452,8,1
10592459,5,1
10593131,5,1
